issue,draw_date,sales_amount,one,two,three
2003061,2003-03-08,0,9,0,1
2003060,2003-03-07,0,8,6,6
2003059,2003-03-06,0,3,6,3
2003058,2003-03-05,0,6,5,8
2003057,2003-03-04,0,7,0,6
2003056,2003-03-03,0,7,2,7
2003055,2003-03-02,0,7,9,5
2003054,2003-03-01,0,8,9,7
2003053,2003-02-28,0,5,8,0
2003052,2003-02-27,0,0,1,4
2003051,2003-02-26,0,3,1,4
2003050,2003-02-25,0,4,1,6
2003049,2003-02-24,0,1,3,5
2003048,2003-02-23,0,8,3,3
2003047,2003-02-22,0,8,1,4
2003046,2003-02-21,0,4,6,3
2003045,2003-02-20,0,9,2,4
2003044,2003-02-19,0,5,6,4
2003043,2003-02-18,0,2,5,9
2003042,2003-02-17,0,9,9,3
2003041,2003-02-16,0,2,6,9
2003040,2003-02-15,0,3,3,9
2003039,2003-02-14,0,8,4,2
2003038,2003-02-13,0,0,1,1
2003037,2003-02-12,0,8,1,4
2003036,2003-02-11,0,7,9,1
2003035,2003-02-10,0,2,3,5
2003034,2003-02-09,0,6,6,8
2003033,2003-02-08,0,2,9,1
2003032,2003-02-07,0,8,9,8
2003031,2003-01-31,0,0,0,8
2003030,2003-01-30,0,6,2,9
2003029,2003-01-29,0,0,2,2
2003028,2003-01-28,0,5,9,3
2003027,2003-01-27,0,3,7,8
2003026,2003-01-26,0,3,3,9
2003025,2003-01-25,0,4,1,5
2003024,2003-01-24,0,8,3,8
2003023,2003-01-23,0,4,4,1
2003022,2003-01-22,0,3,9,1
2003021,2003-01-21,0,0,3,1
2003020,2003-01-20,0,3,8,7
2003019,2003-01-19,0,5,6,6
2003018,2003-01-18,0,8,3,8
2003017,2003-01-17,0,1,6,1
2003016,2003-01-16,0,0,5,4
2003015,2003-01-15,0,1,9,6
2003014,2003-01-14,0,8,3,2
2003013,2003-01-13,0,0,7,9
2003012,2003-01-12,0,5,1,8
2003011,2003-01-11,0,9,8,9
2003010,2003-01-10,0,1,7,1
2003009,2003-01-09,0,9,0,8
2003008,2003-01-08,0,6,6,8
2003007,2003-01-07,0,3,9,6
2003006,2003-01-06,0,1,4,3
2003005,2003-01-05,0,0,9,0
2003004,2003-01-04,0,4,7,5
2003003,2003-01-03,0,0,5,3
2003002,2003-01-02,0,0,3,8
2003001,2003-01-01,0,0,4,0
2004359,2004-12-31,0,3,2,1
2004358,2004-12-30,0,6,0,5
2004357,2004-12-29,0,2,2,9
2004356,2004-12-28,0,3,9,7
2004355,2004-12-27,0,1,0,7
2004354,2004-12-26,0,6,1,9
2004353,2004-12-25,0,5,1,9
2004352,2004-12-24,0,1,8,7
2004351,2004-12-23,0,4,1,9
2004350,2004-12-22,0,7,8,7
2004349,2004-12-21,0,4,7,2
2004348,2004-12-20,0,2,6,3
2004347,2004-12-19,0,3,5,7
2004346,2004-12-18,0,6,4,9
2004345,2004-12-17,0,6,5,1
